City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
58,Saryagash,KZ,2021-11-12 19:28:53,41.4511,69.1701,44.56,52,100,4.14,overcast clouds
59,Kangaatsiaq,GL,2021-11-12 19:28:54,68.3065,-53.4641,21.45,60,100,3.85,overcast clouds
60,Ouegoa,NC,2021-11-12 19:28:54,-20.35,164.4333,76.82,81,24,7.7,few clouds
61,Kununurra,AU,2021-11-12 19:28:54,-15.7667,128.7333,80.58,34,40,8.05,scattered clouds
62,Antalaha,MG,2021-11-12 19:28:55,-14.9003,50.2788,74.53,82,73,4.68,broken clouds
63,Grindavik,IS,2021-11-12 19:28:55,63.8424,-22.4338,37.87,75,75,12.66,broken clouds
64,Riyadh,SA,2021-11-12 19:24:04,24.6877,46.7219,69.94,19,61,10.49,broken clouds
65,Port Hardy,CA,2021-11-12 19:28:56,50.6996,-127.4199,51.98,76,75,11.5,light rain
66,Carnarvon,AU,2021-11-12 19:28:56,-24.8667,113.6333,69.87,68,6,11.5,clear sky
67,Faanui,PF,2021-11-12 19:28:57,-16.4833,-151.75,78.12,70,61,12.86,broken clouds
68,Brae,GB,2021-11-12 19:28:57,60.3964,-1.353,49.91,96,100,12.08,overcast clouds
69,Fairbanks,US,2021-11-12 19:28:57,64.8378,-147.7164,4.96,81,90,0.0,light snow
70,Coquimbo,CL,2021-11-12 19:28:58,-29.9533,-71.3436,60.53,77,75,14.97,broken clouds
71,Banjar,ID,2021-11-12 19:28:58,-8.19,114.9675,78.66,91,93,6.89,overcast clouds
72,Acarau,BR,2021-11-12 19:28:59,-2.8856,-40.12,85.55,65,2,17.65,clear sky
73,Zhob,PK,2021-11-12 19:28:59,31.3411,69.4481,54.54,16,0,3.42,clear sky
74,Morant Bay,JM,2021-11-12 19:28:59,17.8815,-76.4093,86.63,73,19,10.63,few clouds
75,Sidvokodvo,SZ,2021-11-12 19:29:00,-26.6282,31.4202,71.73,73,5,11.07,clear sky
76,Bardiyah,LY,2021-11-12 19:29:00,31.7561,25.0865,67.41,64,83,9.53,broken clouds
77,Wildomar,US,2021-11-12 19:29:01,33.5989,-117.28,92.48,26,1,5.01,clear sky
78,Axim,GH,2021-11-12 19:29:01,4.8699,-2.2405,79.99,85,42,7.27,scattered clouds
79,Hobart,AU,2021-11-12 19:29:02,-42.8794,147.3294,47.01,88,75,1.99,broken clouds
80,Punta Arenas,CL,2021-11-12 19:27:38,-53.15,-70.9167,62.71,34,20,23.02,few clouds
81,Rikitea,PF,2021-11-12 19:29:02,-23.1203,-134.9692,73.47,62,80,6.38,broken clouds
82,Katangli,RU,2021-11-12 19:29:03,51.7102,143.2326,29.88,90,99,9.66,overcast clouds
83,Coihaique,CL,2021-11-12 19:29:03,-45.5752,-72.0662,68.61,42,40,3.44,scattered clouds
84,Katsuura,JP,2021-11-12 19:29:04,35.1333,140.3,52.11,59,1,16.82,clear sky
85,Los Llanos De Aridane,ES,2021-11-12 19:29:04,28.6585,-17.9182,65.95,81,75,1.99,broken clouds
86,Bozova,TR,2021-11-12 19:29:05,37.3625,38.5267,59.92,35,0,1.74,clear sky
