City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Nome,US,2021-11-09 21:28:41,64.5011,-165.4064,19.47,68,75,10.36
68,Grindavik,IS,2021-11-09 21:28:42,63.8424,-22.4338,37.87,81,90,18.41
69,Busselton,AU,2021-11-09 21:28:42,-33.65,115.3333,47.05,80,0,8.59
70,Norsup,VU,2021-11-09 21:28:43,-16.0667,167.3833,81.48,75,4,7.87
71,Kiunga,PG,2021-11-09 21:28:43,-6.1219,141.2906,74.98,99,100,0.69
72,Djambala,CG,2021-11-09 21:28:43,-2.5447,14.7533,69.62,91,100,3.18
73,Nikolskoye,RU,2021-11-09 21:28:43,59.7035,30.7861,33.87,78,100,9.19
74,Rikitea,PF,2021-11-09 21:28:44,-23.1203,-134.9692,74.95,78,89,20.69
75,Sao Filipe,CV,2021-11-09 21:25:25,14.8961,-24.4956,76.82,70,100,7.78
76,Bluff,NZ,2021-11-09 21:28:44,-46.6,168.3333,58.53,79,100,1.01
77,Bethel,US,2021-11-09 21:28:44,41.3712,-73.414,66.58,56,1,4.14
78,Riverton,US,2021-11-09 21:26:45,40.5219,-111.9391,53.11,77,75,5.99
79,Uhlove,UA,2021-11-09 21:28:45,44.8215,33.6045,48.06,67,100,20.98
80,Sitka,US,2021-11-09 21:28:45,57.0531,-135.33,44.49,57,90,3.44
81,Cidreira,BR,2021-11-09 21:28:45,-30.1811,-50.2056,66.9,66,4,9.44
82,Ilek,RU,2021-11-09 21:28:46,51.5271,53.3831,41.52,93,100,6.93
83,Ambovombe,MG,2021-11-09 21:28:46,-25.1667,46.0833,73.27,75,38,7.31
84,Haimen,CN,2021-11-09 21:28:46,23.1935,116.6142,62.49,48,72,9.95
85,Severo-Kurilsk,RU,2021-11-09 21:28:47,50.6789,156.125,35.55,73,100,7.96
86,Frontino,CO,2021-11-09 21:28:47,6.7801,-76.1288,67.5,96,94,3.4
87,Tommot,RU,2021-11-09 21:29:47,58.9564,126.2925,20.68,92,84,5.3
88,Novomykolayivka,UA,2021-11-09 21:29:47,47.9781,35.9102,37.65,61,90,16.26
89,Esperance,AU,2021-11-09 21:29:48,-33.8667,121.9,55.24,58,100,14.83
90,Atuona,PF,2021-11-09 21:28:33,-9.8,-139.0333,78.51,76,2,16.98
91,Yellowknife,CA,2021-11-09 21:29:48,62.456,-114.3525,23.41,100,90,11.5
92,Challans,FR,2021-11-09 21:29:48,46.8436,-1.8749,44.8,77,3,7.4
93,Isiro,CD,2021-11-09 21:29:49,2.7739,27.616,69.48,89,88,2.21
94,Acajutla,SV,2021-11-09 21:29:49,13.5928,-89.8275,89.94,52,3,6.15
95,Staraya Poltavka,RU,2021-11-09 21:29:49,50.4772,46.4814,37.94,68,100,7.67
96,Castro,BR,2021-11-09 21:29:50,-24.7911,-50.0119,69.21,76,1,4.92
97,Jiazi,CN,2021-11-09 21:29:50,22.8779,116.067,60.44,46,63,8.57
98,Puerto Ayora,EC,2021-11-09 21:29:50,-0.7393,-90.3518,76.96,77,98,10.67
99,Arraial Do Cabo,BR,2021-11-09 21:29:50,-22.9661,-42.0278,71.56,78,90,9.22
100,Kaitangata,NZ,2021-11-09 21:29:51,-46.2817,169.8464,60.24,71,100,2.64
101,Falun,SE,2021-11-09 21:29:51,60.6036,15.626,41.41,97,100,6.91
102,Ugoofaaru,MV,2021-11-09 21:26:27,5.6667,73.0,81.75,78,100,16.78
103,Necochea,AR,2021-11-09 21:25:58,-38.5473,-58.7368,59.85,67,9,12.77
104,Tasiilaq,GL,2021-11-09 21:29:51,65.6145,-37.6368,23.16,64,100,5.23
105,Garden City,US,2021-11-09 21:29:29,42.3256,-83.331,55.89,68,90,1.01
106,Salina,US,2021-11-09 21:28:51,38.8403,-97.6114,64.18,50,90,1.99
107,Hermanus,ZA,2021-11-09 21:29:52,-34.4187,19.2345,58.89,75,32,2.44
108,Ilulissat,GL,2021-11-09 21:29:52,69.2167,-51.1,10.42,61,75,12.66
109,Barrow,US,2021-11-09 21:28:06,71.2906,-156.7887,21.22,68,90,16.11
110,Rocha,UY,2021-11-09 21:26:26,-34.4833,-54.3333,62.92,71,14,9.26
111,Alta Floresta,BR,2021-11-09 21:25:23,-9.8756,-56.0861,75.72,87,89,2.89
112,Saint-Francois,FR,2021-11-09 21:29:52,46.4154,3.9054,33.24,93,0,0.0
113,Qaqortoq,GL,2021-11-09 21:29:52,60.7167,-46.0333,18.1,82,6,4.21
114,Garowe,SO,2021-11-09 21:29:53,8.4054,48.4845,72.91,75,20,11.77
115,Guerrero Negro,MX,2021-11-09 21:29:53,27.9769,-114.0611,70.34,60,0,18.52
116,Sann,PK,2021-11-09 21:29:53,26.0418,68.1378,64.31,18,40,7.74
117,La Palma,US,2021-11-09 21:29:26,33.8464,-118.0467,76.75,62,40,5.01
118,Yarkovo,RU,2021-11-09 21:29:54,57.4028,67.0786,35.49,98,100,9.37
119,Hohhot,CN,2021-11-09 21:29:54,40.8106,111.6522,28.69,59,0,13.42
120,Lavrentiya,RU,2021-11-09 21:29:54,65.5833,-171.0,8.89,77,5,6.35
121,Aklavik,CA,2021-11-09 21:29:54,68.2191,-135.0107,14.83,97,92,3.58
122,Carnarvon,AU,2021-11-09 21:29:55,-24.8667,113.6333,62.67,77,4,10.36
123,Belfast,GB,2021-11-09 21:29:55,54.5833,-5.9333,50.38,89,100,10.36
124,Bredasdorp,ZA,2021-11-09 21:29:55,-34.5322,20.0403,52.92,76,65,3.44
125,Dongsheng,CN,2021-11-09 21:29:56,39.8161,109.9776,23.86,64,3,17.63
126,Ramachandrapuram,IN,2021-11-09 21:29:56,16.85,82.0167,71.08,77,98,5.59
127,Thompson,CA,2021-11-09 21:29:56,55.7435,-97.8558,32.16,69,90,16.11
128,Chokurdakh,RU,2021-11-09 21:29:56,70.6333,147.9167,-14.28,94,71,7.45
129,Mount Gambier,AU,2021-11-09 21:29:57,-37.8333,140.7667,48.11,87,90,6.91
130,Itarema,BR,2021-11-09 21:29:57,-2.9248,-39.9167,80.15,75,33,16.6
131,Tanggu,CN,2021-11-09 21:29:57,39.0211,117.6469,42.76,52,0,17.34
132,Oranjemund,NA,2021-11-09 21:29:57,-28.55,16.4333,60.91,79,0,18.14
133,Port Blair,IN,2021-11-09 21:29:58,11.6667,92.75,81.99,81,78,11.34
134,Lagoa,PT,2021-11-09 21:29:58,39.05,-27.9833,65.53,81,5,8.52
135,Naze,JP,2021-11-09 21:30:58,28.3667,129.4833,60.53,58,40,13.71
136,Dikson,RU,2021-11-09 21:30:58,73.5069,80.5464,-2.96,97,27,2.73
137,Gold Coast,AU,2021-11-09 21:29:38,-28.0,153.4333,78.24,87,90,5.75
138,Perivolion,GR,2021-11-09 21:30:59,39.4206,20.0147,63.0,86,100,2.53
139,Zyryanovsk,KZ,2021-11-09 21:30:59,49.7386,84.2719,13.89,93,18,1.23
140,Hervey Bay,AU,2021-11-09 21:31:00,-25.2986,152.8535,77.11,87,93,10.09
