City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
262,Kavaratti,IN,82.35,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
264,Machali,CL,79.41,broken clouds,-34.1833,-70.6667,Mining House
269,Kavieng,PG,81.46,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
270,Buritis,BR,82.38,light rain,-15.6178,-46.4233,Hotel Rainha do Vale
276,Sao Borja,BR,91.94,few clouds,-28.6606,-56.0044,Hotel Executivo
280,Garissa,KE,81.19,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
284,Hobyo,SO,80.2,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
285,Alofi,NU,78.69,overcast clouds,-19.0595,-169.9187,Taloa Heights
286,Curuca,BR,82.44,few clouds,-0.7289,-47.8481,Hotel Curuça
287,Tadine,NC,77.04,clear sky,-21.55,167.8833,
289,Rockport,US,84.45,clear sky,28.0206,-97.0544,"Holiday Inn Express & Suites Rockport - Bay View, an IHG Hotel"
297,San Quintin,MX,79.74,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
300,Aquiraz,BR,86.09,clear sky,-3.9014,-38.3911,Pousada Rua Camurupim
301,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
306,Simoes,BR,89.44,broken clouds,-7.5989,-40.8178,Hotel Ponto Certo
308,Sabang,ID,80.69,overcast clouds,5.8933,95.3214,Hotel Citra
312,Amaigbo,NG,75.94,light rain,5.7892,7.8383,Ikemba Guest House
316,Lazaro Cardenas,MX,83.55,clear sky,17.9583,-102.2,quinta antigua
318,Samarai,PG,81.28,overcast clouds,-10.6167,150.6667,Nuli Sapi
319,Aloleng,PH,79.99,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
321,Oussouye,SN,82.58,light rain,12.485,-16.5469,Auberge du Routard
322,San Patricio,US,84.61,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
323,Benemerito De Las Americas,MX,85.68,scattered clouds,16.5167,-90.6439,"Tres Lagunas, Selva Lacandona"
325,Mulege,MX,83.16,clear sky,26.8833,-111.9833,Casa Granada
328,Bengkulu,ID,75.65,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
333,Namatanai,PG,79.86,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
334,Natal,BR,84.85,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
335,Kapoeta,SS,83.59,broken clouds,4.7717,33.5903,Eastgate Hotel
336,Yanam,IN,76.59,overcast clouds,16.7333,82.2167,The Regency Hotel
338,Bandarbeyla,SO,78.31,overcast clouds,9.4942,50.8122,JABIR HOTEL
339,Jibuti,DJ,78.22,few clouds,11.5,42.5,Orchid Main Camp Goubet
345,Sikonge,TZ,77.04,overcast clouds,-5.6333,32.7667,Pretoria 2 Lodge
347,Kedougou,SN,80.96,overcast clouds,12.5579,-12.1743,Relais de Kédougou
354,Tabou,CI,78.6,overcast clouds,4.423,-7.3528,hotêl doufoulougou
355,Cruzeiro Do Sul,BR,80.53,clear sky,-29.5128,-51.9853,Estrela Palace Hotel
357,Gibara,CU,90.72,clear sky,21.1097,-76.1317,Sol y Mar
362,Meulaboh,ID,75.4,light rain,4.1363,96.1285,Kost Pria
363,Manokwari,ID,78.82,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
364,Miri,MY,75.34,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
368,Puerto Ayacucho,VE,89.19,broken clouds,5.6639,-67.6236,Posada Turistica Manapiare
392,Ngama,TD,85.59,clear sky,11.7833,17.1667,
393,Nauta,PE,76.17,heavy intensity rain,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
397,Majene,ID,77.25,light rain,-3.5403,118.9707,Kost Putri RABBANI
401,Buala,SB,81.25,light rain,-8.145,159.5921,Maringe Lagoon Lodge
402,Bilma,NE,79.83,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
405,Sao Filipe,CV,76.44,scattered clouds,14.8961,-24.4956,Hotel Xaguate
406,Bubaque,GW,82.78,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
407,Mogadishu,SO,80.56,overcast clouds,2.0371,45.3438,Hotel Juba
408,San Jose De Rio Tinto,HN,92.77,few clouds,14.9333,-85.7,PARQUE ECOTURISTICO QUILIZ
412,Ayorou,NE,88.61,overcast clouds,14.7308,0.9174,Hotel Amenokal
421,Ocos,GT,93.7,clear sky,14.5094,-92.1933,Auto Hotel El Soñador
422,Angoche,MZ,77.9,scattered clouds,-16.2325,39.9086,Guest House HESADA
428,Andros Town,BS,82.36,light rain,24.7,-77.7667,Hanks place
